transaction_id,sender_upi,receiver_upi,location,amount,device_type,time,label
TXN0,user0@upi,merchant0@upi,Chennai,9424,desktop,19,0
TXN1,user1@upi,merchant1@upi,Delhi,16885,mobile,6,0
TXN2,user2@upi,merchant2@upi,Delhi,19632,desktop,7,0
TXN3,user3@upi,merchant3@upi,Mumbai,3527,desktop,17,0
TXN4,user4@upi,merchant4@upi,Hyderabad,6199,tablet,21,0
TXN5,user5@upi,merchant5@upi,Bangalore,4843,desktop,20,0
TXN6,user6@upi,merchant6@upi,Chennai,80445,emulator,3,1
TXN7,user7@upi,merchant7@upi,Delhi,19733,tablet,20,0
TXN8,user8@upi,merchant8@upi,Mumbai,15284,desktop,16,0
TXN9,user9@upi,merchant9@upi,Delhi,9745,mobile,19,0
TXN10,user10@upi,merchant10@upi,Delhi,91841,emulator,2,1
TXN11,user11@upi,merchant11@upi,Hyderabad,15046,mobile,7,0
TXN12,user12@upi,merchant12@upi,Delhi,13887,tablet,17,0
TXN13,user13@upi,merchant13@upi,Delhi,6050,tablet,7,0
TXN14,user14@upi,merchant14@upi,Mumbai,10187,desktop,10,0
TXN15,user15@upi,merchant15@upi,Hyderabad,11150,mobile,6,0
TXN16,user16@upi,merchant16@upi,Mumbai,7501,desktop,6,0
TXN17,user17@upi,merchant17@upi,Bangalore,11731,tablet,13,0
TXN18,user18@upi,merchant18@upi,Hyderabad,8112,mobile,20,0
TXN19,user19@upi,merchant19@upi,Hyderabad,6928,mobile,6,0
TXN20,user20@upi,merchant20@upi,Mumbai,18540,mobile,16,0
TXN21,user21@upi,merchant21@upi,Mumbai,33028,emulator,0,1
TXN22,user22@upi,merchant22@upi,Mumbai,17048,tablet,10,0
TXN23,user23@upi,merchant23@upi,Hyderabad,19071,mobile,13,0
TXN24,user24@upi,merchant24@upi,Bangalore,5435,desktop,14,0
TXN25,user25@upi,merchant25@upi,Chennai,12168,desktop,19,0
TXN26,user26@upi,merchant26@upi,Chennai,9450,tablet,18,0
TXN27,user27@upi,merchant27@upi,Chennai,2924,desktop,13,0
TXN28,user28@upi,merchant28@upi,Hyderabad,16284,tablet,21,0
TXN29,user29@upi,merchant29@upi,Delhi,13180,tablet,12,0
TXN30,user30@upi,merchant30@upi,Bangalore,5966,tablet,8,0
TXN31,user31@upi,merchant31@upi,Mumbai,19519,mobile,19,0
TXN32,user32@upi,merchant32@upi,Delhi,4808,mobile,14,0
